iter	Passed	Remaining
0	100	100894
1	103	51831
2	120	39938
3	123	30749
4	127	25382
5	134	22237
6	137	19461
7	140	17371
8	146	16093
9	149	14837
10	152	13709
11	155	12813
12	158	12063
13	163	11505
14	168	11040
15	174	10761
16	179	10403
17	188	10258
18	192	9942
19	197	9661
20	200	9341
21	205	9132
22	208	8845
23	211	8616
24	214	8360
25	216	8108
26	221	7967
27	223	7764
28	227	7603
29	229	7424
30	232	7279
31	240	7269
32	246	7215
33	249	7096
34	251	6943
35	253	6790
36	255	6657
37	257	6521
38	263	6503
39	267	6412
40	269	6294
41	272	6206
42	274	6116
43	280	6092
44	283	6014
45	289	6006
46	293	5956
47	298	5913
48	301	5855
49	306	5827
50	316	5895
51	323	5901
52	331	5914
53	338	5928
54	346	5961
55	369	6228
56	377	6240
57	383	6234
58	387	6174
59	391	6128
60	395	6093
61	400	6060
62	408	6073
63	414	6065
64	419	6035
65	423	5997
66	426	5945
67	429	5888
68	432	5839
69	436	5798
70	440	5761
71	447	5763
72	450	5721
73	453	5675
74	456	5629
75	459	5586
76	467	5605
77	472	5588
78	477	5572
79	485	5578
80	493	5602
81	505	5657
82	508	5620
83	512	5588
84	520	5600
85	524	5570
86	528	5546
87	530	5500
88	533	5459
89	539	5450
90	541	5413
91	546	5390
92	555	5416
93	570	5496
94	573	5461
95	575	5423
96	578	5388
97	582	5358
98	585	5328
99	588	5298
100	590	5257
101	593	5222
102	595	5184
103	599	5161
104	606	5166
105	608	5129
106	610	5095
107	612	5061
108	615	5034
109	619	5008
110	621	4977
111	625	4956
112	629	4945
113	634	4929
114	637	4908
115	639	4875
116	641	4843
117	645	4825
118	648	4798
119	654	4797
120	659	4793
121	664	4784
122	672	4798
123	679	4799
124	688	4819
125	696	4831
126	703	4832
127	710	4837
128	718	4849
129	727	4871
130	733	4868
131	735	4837
132	737	4810
133	740	4786
134	743	4764
135	745	4738
136	750	4727
137	755	4720
138	762	4724
139	764	4695
140	767	4676
141	769	4650
142	773	4633
143	783	4656
144	788	4648
145	791	4628
146	795	4615
147	798	4599
148	805	4599
149	812	4602
150	814	4578
151	816	4557
152	821	4547
153	825	4534
154	828	4514
155	830	4495
156	833	4473
157	835	4450
158	838	4437
159	840	4414
160	841	4387
161	843	4365
162	846	4345
163	848	4326
164	851	4307
165	855	4297
166	859	4288
167	868	4303
168	876	4311
169	882	4306
170	892	4325
171	900	4336
172	907	4340
173	910	4321
174	912	4301
175	915	4286
176	917	4265
177	922	4260
178	930	4267
179	933	4252
180	936	4236
181	939	4221
182	941	4203
183	944	4187
184	947	4173
185	950	4158
186	952	4142
187	955	4128
188	959	4118
189	961	4100
190	964	4084
191	968	4073
192	971	4060
193	974	4047
194	977	4035
195	980	4021
196	983	4008
197	990	4010
198	997	4013
199	1001	4007
200	1005	3995
201	1012	4000
202	1020	4005
203	1024	3996
204	1026	3980
205	1032	3978
206	1035	3966
207	1037	3952
208	1042	3943
209	1045	3934
210	1048	3920
211	1051	3909
212	1058	3912
213	1062	3900
214	1064	3885
215	1066	3870
216	1074	3875
217	1076	3862
218	1078	3847
219	1082	3837
220	1085	3827
221	1088	3814
222	1090	3801
223	1093	3788
224	1097	3780
225	1101	3771
226	1104	3760
227	1106	3746
228	1109	3736
229	1118	3744
230	1122	3736
231	1127	3733
232	1131	3725
233	1136	3719
234	1139	3709
235	1143	3703
236	1147	3694
237	1149	3681
238	1152	3668
239	1154	3654
240	1156	3641
241	1159	3631
242	1161	3617
243	1163	3604
244	1165	3592
245	1168	3580
246	1170	3568
247	1172	3556
248	1175	3545
249	1177	3533
250	1179	3520
251	1182	3509
252	1186	3502
253	1189	3494
254	1192	3482
255	1197	3480
256	1201	3474
257	1205	3466
258	1215	3476
259	1220	3474
260	1222	3462
261	1225	3451
262	1228	3442
263	1230	3430
264	1234	3423
265	1238	3417
266	1241	3407
267	1248	3411
268	1251	3401
269	1257	3398
270	1263	3397
271	1267	3391
272	1269	3381
273	1274	3377
274	1277	3369
275	1280	3359
276	1282	3347
277	1284	3336
278	1286	3324
279	1288	3314
280	1291	3303
281	1293	3293
282	1295	3282
283	1297	3271
284	1299	3259
285	1301	3250
286	1305	3243
287	1307	3232
288	1310	3222
289	1311	3212
290	1315	3204
291	1317	3194
292	1320	3185
293	1322	3174
294	1323	3163
295	1327	3156
296	1329	3146
297	1332	3138
298	1334	3127
299	1335	3116
300	1337	3106
301	1339	3095
302	1341	3085
303	1342	3074
304	1345	3065
305	1347	3056
306	1351	3051
307	1353	3041
308	1357	3035
309	1360	3028
310	1362	3018
311	1365	3010
312	1367	3001
313	1370	2993
314	1373	2987
315	1376	2979
316	1381	2976
317	1383	2966
318	1385	2958
319	1388	2950
320	1391	2942
321	1393	2934
322	1396	2926
323	1399	2920
324	1404	2918
325	1407	2909
326	1410	2902
327	1412	2894
328	1415	2886
329	1417	2878
330	1420	2871
331	1422	2862
332	1424	2853
333	1426	2844
334	1428	2836
335	1431	2828
336	1433	2819
337	1436	2813
338	1439	2806
339	1441	2798
340	1444	2790
341	1446	2783
342	1451	2780
343	1455	2775
344	1460	2771
345	1462	2764
346	1466	2760
347	1470	2755
348	1474	2750
349	1477	2744
350	1484	2745
351	1491	2745
352	1499	2748
353	1503	2743
354	1509	2742
355	1512	2735
356	1518	2735
357	1521	2728
358	1524	2721
359	1528	2717
360	1532	2712
361	1539	2713
362	1543	2708
363	1552	2712
364	1557	2708
365	1564	2710
366	1573	2713
367	1584	2720
368	1591	2721
369	1597	2720
370	1600	2713
371	1603	2707
372	1607	2701
373	1610	2695
374	1613	2689
375	1621	2691
376	1628	2691
377	1632	2685
378	1639	2687
379	1644	2682
380	1650	2680
381	1654	2677
382	1658	2672
383	1661	2665
384	1665	2659
385	1670	2657
386	1673	2650
387	1677	2646
388	1681	2640
389	1684	2634
390	1687	2627
391	1689	2620
392	1692	2613
393	1694	2606
394	1700	2604
395	1705	2601
396	1707	2593
397	1712	2590
398	1715	2584
399	1718	2578
400	1721	2571
401	1724	2564
402	1726	2557
403	1731	2554
404	1737	2551
405	1741	2548
406	1747	2546
407	1755	2546
408	1763	2548
409	1769	2545
410	1771	2538
411	1774	2532
412	1777	2526
413	1782	2523
414	1787	2520
415	1791	2514
416	1793	2507
417	1798	2504
418	1803	2500
419	1807	2495
420	1809	2489
421	1814	2485
422	1818	2480
423	1821	2473
424	1823	2467
425	1826	2461
426	1828	2453
427	1830	2446
428	1833	2440
429	1835	2433
430	1838	2426
431	1843	2423
432	1850	2422
433	1857	2422
434	1859	2415
435	1863	2410
436	1868	2406
437	1871	2400
438	1875	2397
439	1879	2392
440	1883	2387
441	1886	2381
442	1888	2374
443	1891	2368
444	1896	2364
445	1900	2361
446	1904	2356
447	1911	2355
448	1915	2350
449	1918	2344
450	1922	2339
451	1926	2335
452	1928	2328
453	1930	2322
454	1933	2315
455	1935	2309
456	1937	2302
457	1940	2295
458	1942	2289
459	1946	2285
460	1951	2281
461	1954	2275
